feature_name,source,available_as_of,existing_or_proposed,coverage_mechanism,existing_stage2_1_mechanism,formula_or_definition,preprocess_policy,missing_rate,mutual_exclusion_group,exact_duplicate_group,coverage_status,recommended_role,reason
board_day_amount_rank,v004c-d1-dataset-0.1 (v004c-features-0.3),D0_CLOSE,EXISTING,D0_CROSS_SECTION,D0_CROSS_SECTION,末板日该股 amount 在当日涨停池成员中的降序名次 (1=最高),CROSS_SECTION_RANK_SENSITIVITY,0.1021,,,EXISTING_REUSE,SENSITIVITY_ONLY,D0 横截面排名 (SENSITIVITY 层); 缺失 10.2% (池覆盖); 仅敏感性
board_day_turnover_rank,v004c-d1-dataset-0.1 (v004c-features-0.3),D0_CLOSE,EXISTING,D0_CROSS_SECTION,D0_CROSS_SECTION,末板日该股 turnover_rate 在当日涨停池成员中的降序名次,CROSS_SECTION_RANK_SENSITIVITY,0.1021,,,EXISTING_REUSE,SENSITIVITY_ONLY,"同上, turnover 口径"
board_day_volume_rank,v004c-d1-dataset-0.1 (v004c-features-0.3),D0_CLOSE,EXISTING,D0_CROSS_SECTION,D0_CROSS_SECTION,末板日该股 volume 在当日涨停池成员中的降序名次,CROSS_SECTION_RANK_SENSITIVITY,0.027,,,EXISTING_REUSE,SENSITIVITY_ONLY,"同上, volume 口径 (缺失 2.7%)"
break_close_return,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,D0_TO_D1_TRANSITION,D1_PRICE_ACTION,break_close / break_prev_close - 1,FOLD_CLIP_Z,0.0,,,EXISTING_REUSE,M1_BASELINE_CANDIDATE,"D1 close / D0 close - 1: 核心 D0→D1 收盘过渡 (名称含 break 但确为 D0→D1, 已核对公式)"
break_high_return,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,D0_TO_D1_TRANSITION,D1_PRICE_ACTION,break_high / break_prev_close - 1,FOLD_CLIP_Z,0.0,,,EXISTING_REUSE,M1_BASELINE_CANDIDATE,D1 high / D0 close - 1: D0→D1 最高延伸
break_open_return,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,D0_TO_D1_TRANSITION,D1_PRICE_ACTION,break_open / break_prev_close - 1 (prev_close=末板日收盘=D0 close),FOLD_CLIP_Z,0.0,,,EXISTING_REUSE,M1_BASELINE_CANDIDATE,D1 open / D0 close - 1 (prev_close=末板日收盘=D0 close): 真 D0→D1 开盘缺口
break_opened_from_limit_up,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,D0_TO_D1_TRANSITION,D1_PRICE_ACTION,break_open >= 涨停价 - 0.011,RAW_BINARY,0.0,,,EXISTING_REUSE,SENSITIVITY_ONLY,"D1 开在涨停 (2.4% 正例), 少数值二元项"
break_prev_close,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,D0_TO_D1_TRANSITION,RAW_SCALE_SOURCE,末板日收盘 = D0 close (断板前最后涨停日收盘; 绝对价格 DERIVE_ONLY),NO_DIRECT_MODEL_INPUT,0.0,,,EXISTING_REUSE,NO_MODEL_INPUT,"DERIVE_ONLY 绝对尺度锚点 (D0 收盘), 只允许派生为收益/距离后使用"
break_touched_limit_up,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,D0_TO_D1_TRANSITION,D1_PRICE_ACTION,break_high >= 涨停价 - 0.011 (涨停价=前收×1.10 四舍五入到分),RAW_BINARY,0.0,,,EXISTING_REUSE,M1_BASELINE_CANDIDATE,"D1 盘中触板事件 (15% 正例), 与价格过渡互补"
d1_to_d0_amount_ratio,PROPOSED (data/cache/daily),D1_CLOSE,PROPOSED,D0_TO_D1_TRANSITION,,"(提案, 未实现) d1_amount / d0_amount",,,,,NOT_NEEDED,NO_MODEL_INPUT,"volume 版的金额替代表达, 按原则不与其同入模型"
d1_to_d0_volume_ratio,PROPOSED (data/cache/daily),D1_CLOSE,PROPOSED,D0_TO_D1_TRANSITION,,"(提案, 未实现) d1_volume / d0_volume",,,,,NOT_NEEDED,NO_MODEL_INPUT,break_volume_ratio_vs_board_days 已覆盖 D1 相对本轮连板量能; 纯 D1/D0 版更噪声
amount_above_d1_close_ratio,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,D1_CHIP_DISTRIBUTION,D1_CHIP_DISTRIBUTION,copied unchanged from source v0.2.2 column amount_above_d1_close_ratio,FOLD_CLIP_Z,0.0,ME02_ABOVE_CLOSE_CHIP,,EXISTING_REUSE,SENSITIVITY_ONLY,"ME02 金额替代表达 (MUTUALLY_EXCLUSIVE_EXPRESSION), spearman 0.9999"
high_zone_amount_ratio,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,D1_CHIP_DISTRIBUTION,D1_CHIP_DISTRIBUTION,copied unchanged from source v0.2.2 column high_zone_amount_ratio,FOLD_CLIP_Z,0.0,ME03_HIGH_ZONE,,EXISTING_REUSE,SENSITIVITY_ONLY,"ME03 金额替代表达 (MUTUALLY_EXCLUSIVE_EXPRESSION), spearman 0.9998"
high_zone_volume_ratio,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,D1_CHIP_DISTRIBUTION,D1_CHIP_DISTRIBUTION,Σvolume(typical >= d1_low+0.7×(d1_high−d1_low)) / Σvolume,FOLD_CLIP_Z,0.0,ME03_HIGH_ZONE,,EXISTING_REUSE,M2_PRIMARY_CANDIDATE,"高位区量占比 (ME03 canonical), 28% 为 0 (未触高位区)"
volume_above_d1_close_ratio,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,D1_CHIP_DISTRIBUTION,D1_CHIP_DISTRIBUTION,Σvolume(bar close >= d1_close) / Σvolume,FOLD_CLIP_Z,0.0,ME02_ABOVE_CLOSE_CHIP,ED13,EXISTING_REUSE,M1_BASELINE_CANDIDATE,收盘上方量占比 (ME02 canonical): D1 筹码结构核心
profit_chip_ratio,v004c-factor-dictionary-0.1 (预声明派生),D1_CLOSE,EXISTING,D1_CHIP_DISTRIBUTION,PREDECLARED_DERIVED,1 - volume_above_d1_close_ratio,FOLD_CLIP_Z,0.0,,,REDUNDANT,NO_MODEL_INPUT,1 - volume_above_d1_close_ratio: ME02 canonical 的精确互补
volume_above_break_close_ratio,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,D1_CHIP_DISTRIBUTION,D1_CHIP_DISTRIBUTION,copied unchanged from source v0.2.2 column volume_above_break_close_ratio,NO_DIRECT_MODEL_INPUT,0.0,,ED13,REDUNDANT,NO_MODEL_INPUT,ED13: 与 volume_above_d1_close_ratio 精确重复 (break_close==d1_close)
late_day_sell_amount_ratio,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,D1_LATE_DAY_PRESSURE,D1_LATE_DAY_PRESSURE,copied unchanged from source v0.2.2 column late_day_sell_amount_ratio,FOLD_CLIP_Z,0.0,ME04_LATE_SELL,,EXISTING_REUSE,SENSITIVITY_ONLY,"ME04 金额替代表达 (MUTUALLY_EXCLUSIVE_EXPRESSION), spearman 0.9989"
late_day_sell_volume_ratio,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,D1_LATE_DAY_PRESSURE,D1_LATE_DAY_PRESSURE,Σvolume(time>=14:00 且 close<open) / Σvolume,FOLD_CLIP_Z,0.0,ME04_LATE_SELL,,EXISTING_REUSE,M1_BASELINE_CANDIDATE,尾盘 (>=14:00) 下跌量占比 (ME04 canonical): 尾盘抛压
consecutive_days_below_ma10,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,D1_MA10_MA20_STATE,D1_MA_POSITION,从 signal_date(含)向前数 close < ma10 的连续天数,RAW_ORDINAL,0.0,ME07_MA10_POSITION,,EXISTING_REUSE,SENSITIVITY_ONLY,ME07 替代 (NP03); 紧凑模型与 close_above_ma10 二选一
d1_close_above_ma10,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,D1_MA10_MA20_STATE,D1_MA_POSITION,d1_close >= d1_ma10,RAW_BINARY,0.0,ME07_MA10_POSITION,ED11,EXISTING_REUSE,SENSITIVITY_ONLY,"ME07 canonical 二元项, 98.5% 恒 True; 与 consecutive_below_ma10 互斥"
d1_close_to_ma10_raw,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,D1_MA10_MA20_STATE,D1_MA_POSITION,d1_close / d1_ma10 - 1,FOLD_CLIP_Z,0.0,,,EXISTING_REUSE,M2_PRIMARY_CANDIDATE,close/ma10 - 1: MA10 水平; 注意 Stage2.2 无标签分布漂移标记 (六月→七月)
d1_close_to_ma20,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,D1_MA10_MA20_STATE,D1_MA_POSITION,d1_close / d1_ma20 - 1,FOLD_CLIP_Z,0.0,,,EXISTING_REUSE,M2_PRIMARY_CANDIDATE,close/ma20 - 1: MA20 水平 (MA20 允许作为技术状态进入模型); 有漂移标记
d1_low_to_ma10_raw,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,D1_MA10_MA20_STATE,D1_MA_POSITION,d1_low / d1_ma10 - 1,FOLD_CLIP_Z,0.0,,,EXISTING_REUSE,SENSITIVITY_ONLY,low/ma10 - 1: 与 close_to_ma10 同机制; 亦被漂移标记
d1_ma10,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,D1_MA10_MA20_STATE,RAW_SCALE_SOURCE,copied unchanged from source v0.2.2 column d1_ma10,NO_DIRECT_MODEL_INPUT,0.0,,,EXISTING_REUSE,NO_MODEL_INPUT,"DERIVE_ONLY 绝对 MA10, 只允许派生后使用"
d1_ma10_slope,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,D1_MA10_MA20_STATE,D1_MA_POSITION,ma10(D1) / ma10(D1 前一日) - 1,FOLD_CLIP_Z,0.0,,,EXISTING_REUSE,M2_PRIMARY_CANDIDATE,ma10 1 日变化率; 有漂移标记
d1_ma20,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,D1_MA10_MA20_STATE,RAW_SCALE_SOURCE,copied unchanged from source v0.2.2 column d1_ma20,NO_DIRECT_MODEL_INPUT,0.0,,,EXISTING_REUSE,NO_MODEL_INPUT,"DERIVE_ONLY 绝对 MA20, 只允许派生后使用"
d1_true_reclaim_ma10,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,D1_MA10_MA20_STATE,D1_MA_POSITION,d1_low <= d1_ma10 AND d1_close >= d1_ma10,RAW_BINARY,0.0,,,EXISTING_REUSE,SENSITIVITY_ONLY,"下探收回 MA10 (2.2% 正例), 少数值二元项"
d1_ma20_slope,PROPOSED (data/cache/daily),D1_CLOSE,PROPOSED,D1_MA10_MA20_STATE,,ma20(D1) / ma20(D1 前一日) - 1; ma20 = close 20 日滚动均值 (min_periods=20),,0.0,,,NEW_REQUIRED,M2_PRIMARY_CANDIDATE,"ma20 1 日变化率: MA20 趋势方向, 冻结数据不可导出 (需 ma20(D0)), 需日线缓存计算"
ma5_ma10_spread,PROPOSED (data/cache/daily),D1_CLOSE,PROPOSED,D1_MA10_MA20_STATE,,"(提案, 未实现) ma5/ma10 - 1; 可由 d1_close_to_ma5_raw - d1_close_to_ma10_raw 导出",,,,,NOT_NEEDED,NO_MODEL_INPUT,可由冻结数据导出: d1_close_to_ma5_raw - d1_close_to_ma10_raw 为价距差的单调函数
deprecated_d1_reclaimed_ma10_v01,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,D1_MA10_MA20_STATE,D1_MA_POSITION,copied unchanged from source v0.2.2 column deprecated_d1_reclaimed_ma10_v01,NO_DIRECT_MODEL_INPUT,0.0,,ED11,REDUNDANT,NO_MODEL_INPUT,"ED11: 与 d1_close_above_ma10 精确重复, 命名废弃"
consecutive_days_below_ma5,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,D1_MA5_STATE,D1_MA_POSITION,从 signal_date(含)向前数 close < ma5 的连续天数,RAW_ORDINAL,0.0,ME06_MA5_POSITION,,EXISTING_REUSE,SENSITIVITY_ONLY,"ME06 替代 (近单调, NP04); 紧凑模型与 close_above_ma5 二选一"
d1_close_above_ma5,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,D1_MA5_STATE,D1_MA_POSITION,d1_close >= d1_ma5,RAW_BINARY,0.0,ME06_MA5_POSITION,ED10,EXISTING_REUSE,SENSITIVITY_ONLY,"ME06 canonical 二元项, 99% 恒 True (少数值); 与 consecutive_below_ma5 互斥"
d1_close_to_ma5_bucket,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,D1_MA5_STATE,D1_MA_POSITION,copied unchanged from source v0.2.2 column d1_close_to_ma5_bucket,BUCKET_SENSITIVITY_ONLY,0.0,,,EXISTING_REUSE,SENSITIVITY_ONLY,"预分桶研究表达, 只做 bucket 敏感性"
d1_close_to_ma5_raw,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,D1_MA5_STATE,D1_MA_POSITION,d1_close / d1_ma5 - 1,FOLD_CLIP_Z,0.0,,,EXISTING_REUSE,M1_BASELINE_CANDIDATE,"close/ma5 - 1: MA5 技术状态核心锚点 (长历史计算, D1_CLOSE 可得)"
d1_high_to_ma5_raw,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,D1_MA5_STATE,D1_MA_POSITION,d1_high / d1_ma5 - 1,FOLD_CLIP_Z,0.0,,,EXISTING_REUSE,SENSITIVITY_ONLY,"high/ma5 - 1: 与 close_to_ma5 同机制, 紧凑模型优先 close/low 版"
d1_low_to_ma5_raw,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,D1_MA5_STATE,D1_MA_POSITION,d1_low / d1_ma5 - 1,FOLD_CLIP_Z,0.0,,,EXISTING_REUSE,M2_PRIMARY_CANDIDATE,"low/ma5 - 1: 日内低点对 MA5 的支撑检验, 与 close 版同一 MA 机制"
d1_ma5,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,D1_MA5_STATE,RAW_SCALE_SOURCE,copied unchanged from source v0.2.2 column d1_ma5,NO_DIRECT_MODEL_INPUT,0.0,,,EXISTING_REUSE,NO_MODEL_INPUT,"DERIVE_ONLY 绝对 MA5, 只允许派生后使用"
d1_ma5_slope,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,D1_MA5_STATE,D1_MA_POSITION,ma5(D1) / ma5(D1 前一日) - 1,FOLD_CLIP_Z,0.0,,,EXISTING_REUSE,M2_PRIMARY_CANDIDATE,ma5 1 日变化率: MA5 趋势方向
d1_true_reclaim_ma5,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,D1_MA5_STATE,D1_MA_POSITION,d1_low <= d1_ma5 AND d1_close >= d1_ma5,RAW_BINARY,0.0,,,EXISTING_REUSE,M2_PRIMARY_CANDIDATE,low<=ma5 且 close>=ma5: 下探收回 MA5 事件 (6% 正例)
ma5_overheat_10,v004c-factor-dictionary-0.1 (预声明派生),D1_CLOSE,EXISTING,D1_MA5_STATE,PREDECLARED_DERIVED,1[d1_close_to_ma5_raw >= 0.10],RAW_BINARY,0.0,,,EXISTING_REUSE,SENSITIVITY_ONLY,"close_to_ma5 >= 0.10 二元化; 同一机制的再表达, 非新机制"
deprecated_d1_reclaimed_ma5_v01,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,D1_MA5_STATE,D1_MA_POSITION,copied unchanged from source v0.2.2 column deprecated_d1_reclaimed_ma5_v01,NO_DIRECT_MODEL_INPUT,0.0,,ED10,REDUNDANT,NO_MODEL_INPUT,"ED10: 与 d1_close_above_ma5 精确重复, 命名废弃"
break_lower_shadow_ratio,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,D1_PRICE_ACTION,D1_PRICE_ACTION,"(min(open, close) - low) / (high - low)",FOLD_CLIP_Z,0.006,,,EXISTING_REUSE,SENSITIVITY_ONLY,下影线占比 (SENSITIVITY)
break_upper_shadow_ratio,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,D1_PRICE_ACTION,D1_PRICE_ACTION,"(high - max(open, close)) / (high - low)",FOLD_CLIP_Z,0.006,,,EXISTING_REUSE,SENSITIVITY_ONLY,上影线占比 (SENSITIVITY)
d1_afternoon_return,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,D1_PRICE_ACTION,D1_PRICE_ACTION,d1_close / 13:00 前最后一根 bar 的 close - 1,FOLD_CLIP_Z,0.0,,,EXISTING_REUSE,M2_PRIMARY_CANDIDATE,午后段收益 (13:00 前最后 bar→收盘)
d1_close,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,D1_PRICE_ACTION,RAW_SCALE_SOURCE,copied unchanged from source v0.2.2 column d1_close,NO_DIRECT_MODEL_INPUT,0.0,,ED04,EXISTING_REUSE,NO_MODEL_INPUT,"DERIVE_ONLY 绝对价格, 只允许派生后使用"
d1_close_location,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,D1_PRICE_ACTION,D1_PRICE_ACTION,(d1_close - d1_low) / (d1_high - d1_low),FOLD_CLIP_Z,0.006,,ED07,EXISTING_REUSE,SENSITIVITY_ONLY,(close-low)/(high-low); 与 low_to_close_recovery/drawdown 同机制不同表达
d1_high,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,D1_PRICE_ACTION,RAW_SCALE_SOURCE,copied unchanged from source v0.2.2 column d1_high,NO_DIRECT_MODEL_INPUT,0.0,,ED02,EXISTING_REUSE,NO_MODEL_INPUT,"DERIVE_ONLY 绝对价格, 只允许派生后使用"
d1_high_to_close_drawdown_raw,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,D1_PRICE_ACTION,D1_PRICE_ACTION,(d1_high - d1_close) / d1_high,FOLD_CLIP_Z,0.0,,ED06,EXISTING_REUSE,M1_BASELINE_CANDIDATE,(high - close) / high: 日内冲高回落
d1_intraday_range,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,D1_PRICE_ACTION,D1_PRICE_ACTION,(d1_high - d1_low) / prev_close,FOLD_CLIP_Z,0.0,,ED05,EXISTING_REUSE,M2_PRIMARY_CANDIDATE,"(high-low)/prev_close: D1 振幅, 波动性表达"
d1_last_hour_return,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,D1_PRICE_ACTION,D1_PRICE_ACTION,d1_close / 14:00 bar 的 close - 1,FOLD_CLIP_Z,0.0,,,EXISTING_REUSE,M2_PRIMARY_CANDIDATE,"尾盘 1 小时收益 (14:00 bar→收盘); 与 afternoon_return 近重复, 紧凑模型只留一种"
d1_low,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,D1_PRICE_ACTION,RAW_SCALE_SOURCE,copied unchanged from source v0.2.2 column d1_low,NO_DIRECT_MODEL_INPUT,0.0,,ED03,EXISTING_REUSE,NO_MODEL_INPUT,"DERIVE_ONLY 绝对价格, 只允许派生后使用"
d1_low_to_close_recovery,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,D1_PRICE_ACTION,D1_PRICE_ACTION,(d1_close - d1_low) / d1_low (5min 日内低点),FOLD_CLIP_Z,0.0,,,EXISTING_REUSE,M1_BASELINE_CANDIDATE,(close - low) / low: 日内低点回收强度
d1_open,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,D1_PRICE_ACTION,RAW_SCALE_SOURCE,copied unchanged from source v0.2.2 column d1_open,NO_DIRECT_MODEL_INPUT,0.0,,ED01,EXISTING_REUSE,NO_MODEL_INPUT,"DERIVE_ONLY 绝对价格, 只允许派生后使用"
d1_open_to_close_bucket,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,D1_PRICE_ACTION,D1_PRICE_ACTION,copied unchanged from source v0.2.2 column d1_open_to_close_bucket,BUCKET_SENSITIVITY_ONLY,0.0,,,EXISTING_REUSE,SENSITIVITY_ONLY,"预分桶研究表达, 只做 bucket 敏感性"
d1_open_to_close_return_raw,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,D1_PRICE_ACTION,D1_PRICE_ACTION,d1_close / d1_open - 1 (5min 首/末 bar),FOLD_CLIP_Z,0.0,,,EXISTING_REUSE,M1_BASELINE_CANDIDATE,D1 当日 open→close (非 D0→D1); D1 日内价格结构核心
overrepair,v004c-factor-dictionary-0.1 (预声明派生),D1_CLOSE,EXISTING,D1_PRICE_ACTION,PREDECLARED_DERIVED,"max(d1_open_to_close_return_raw - 0.03, 0)",FOLD_CLIP_Z,0.0,,,EXISTING_REUSE,SENSITIVITY_ONLY,"max(open_to_close - 0.03, 0): 同一机制的再表达"
profit_pressure,v004c-factor-dictionary-0.1 (预声明派生),D1_CLOSE,EXISTING,D1_PRICE_ACTION,PREDECLARED_DERIVED,profit_chip_ratio * d1_low_to_close_recovery * log1p(break_volume_ratio_vs_board_days),FOLD_CLIP_Z,0.0,,,EXISTING_REUSE,SENSITIVITY_ONLY,"三字段交互项: 非新机制, 交互项留待模型表阶段人工评估"
break_close,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,D1_PRICE_ACTION,RAW_SCALE_SOURCE,copied unchanged from source v0.2.2 column break_close,NO_DIRECT_MODEL_INPUT,0.0,,ED04,REDUNDANT,NO_MODEL_INPUT,ED04: 与 d1_close 精确重复
break_close_location,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,D1_PRICE_ACTION,D1_PRICE_ACTION,(close - low) / (high - low),NO_DIRECT_MODEL_INPUT,0.006,,ED07,REDUNDANT,NO_MODEL_INPUT,ED07: 与 d1_close_location 精确重复
break_high,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,D1_PRICE_ACTION,RAW_SCALE_SOURCE,copied unchanged from source v0.2.2 column break_high,NO_DIRECT_MODEL_INPUT,0.0,,ED02,REDUNDANT,NO_MODEL_INPUT,ED02: 与 d1_high 精确重复
break_high_to_close_drawdown,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,D1_PRICE_ACTION,D1_PRICE_ACTION,(high - close) / high,NO_DIRECT_MODEL_INPUT,0.0,,ED06,REDUNDANT,NO_MODEL_INPUT,ED06: 与 d1_high_to_close_drawdown_raw 精确重复
break_intraday_range,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,D1_PRICE_ACTION,D1_PRICE_ACTION,(high - low) / prev_close,NO_DIRECT_MODEL_INPUT,0.0,,ED05,REDUNDANT,NO_MODEL_INPUT,ED05: 与 d1_intraday_range 精确重复
break_low,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,D1_PRICE_ACTION,RAW_SCALE_SOURCE,copied unchanged from source v0.2.2 column break_low,NO_DIRECT_MODEL_INPUT,0.0,,ED03,REDUNDANT,NO_MODEL_INPUT,ED03: 与 d1_low 精确重复
break_open,v004c-d1-dataset-0.1 (v004c-features-0.3),D1_CLOSE,EXISTING,D1_PRICE_ACTION,RAW_SCALE_SOURCE,copied unchanged from source v0.2.2 column break_open,NO_DIRECT_MODEL_INPUT,0.0,,ED01,REDUNDANT,NO_MODEL_INPUT,ED01: 与 d1_open 精确重复 (333/333 相等)
