name,mechanism_block,formula,source,information_timestamp,d1_safe,missing_rule,already_exists,inclusion_status
post_low_volume_share,EXISTING_SUPPLY_ACTIVITY,sum 5m volume from first D1-low bar through close / full-day volume,BaoStock 5m cache,D1 15:00,YES,FATAL source gap; train-fold median only for declared structural missing,NO,INCLUDED
volume_above_d1_close_ratio,EXISTING_SUPPLY_ACTIVITY,Frozen BaoStock D1 5m primitive; see v002 lineage,BaoStock D1 dev v002,D1 15:00,YES,FATAL source gap; train-fold median only for declared structural missing,YES,INCLUDED
d1_close_to_ma10_raw,EXISTING_TREND_POSITION,Frozen BaoStock D1/daily primitive; see v002 lineage,BaoStock D1 dev v002,D1 15:00,YES,FATAL source gap; train-fold median only for declared structural missing,YES,INCLUDED
d1_close_to_ma20,EXISTING_TREND_POSITION,Frozen BaoStock D1/daily primitive; see v002 lineage,BaoStock D1 dev v002,D1 15:00,YES,FATAL source gap; train-fold median only for declared structural missing,YES,INCLUDED
d1_close_to_ma5_raw,EXISTING_TREND_POSITION,Frozen BaoStock D1/daily primitive; see v002 lineage,BaoStock D1 dev v002,D1 15:00,YES,FATAL source gap; train-fold median only for declared structural missing,YES,INCLUDED
d1_ma10_slope,EXISTING_TREND_POSITION,Frozen BaoStock D1/daily primitive; see v002 lineage,BaoStock D1 dev v002,D1 15:00,YES,FATAL source gap; train-fold median only for declared structural missing,YES,INCLUDED
d1_ma5_slope,EXISTING_TREND_POSITION,Frozen BaoStock D1/daily primitive; see v002 lineage,BaoStock D1 dev v002,D1 15:00,YES,FATAL source gap; train-fold median only for declared structural missing,YES,INCLUDED
recent_7d_close_position,EXISTING_TREND_POSITION,Frozen BaoStock D1/daily primitive; see v002 lineage,BaoStock D1 dev v002,D1 15:00,YES,FATAL source gap; train-fold median only for declared structural missing,YES,INCLUDED
recent_7d_cumulative_return,EXISTING_TREND_POSITION,Frozen BaoStock D1/daily primitive; see v002 lineage,BaoStock D1 dev v002,D1 15:00,YES,FATAL source gap; train-fold median only for declared structural missing,YES,INCLUDED
recent_7d_max_drawdown,EXISTING_TREND_POSITION,Frozen BaoStock D1/daily primitive; see v002 lineage,BaoStock D1 dev v002,D1 15:00,YES,FATAL source gap; train-fold median only for declared structural missing,YES,INCLUDED
subject_d1_close_return_percentile_in_tier,SAME_TIER_COMPETITION,(average rank(subject D1 return)-0.5)/cohort size,frozen formal D0/D1 full-market pools + canonical daily cache,D1 15:00,YES,FATAL source gap,NO,INCLUDED
subject_d1_close_return_vs_tier_mean,SAME_TIER_COMPETITION,subject D1 return - full-tier mean D1 return,frozen formal D0/D1 full-market pools + canonical daily cache,D1 15:00,YES,FATAL source gap,NO,INCLUDED
tier_cohort_size,SAME_TIER_COMPETITION,count(D0 canonical pool members with consecutive_limit_up_count=k),frozen formal D0/D1 full-market pools + canonical daily cache,D1 15:00,YES,FATAL source gap,NO,INCLUDED
tier_peer_advance_count_d1,SAME_TIER_COMPETITION,count(peers closing D1 at canonical limit-up with streak >= k+1),frozen formal D0/D1 full-market pools + canonical daily cache,D1 15:00,YES,FATAL source gap,NO,INCLUDED
tier_peer_advance_rate_d1,SAME_TIER_COMPETITION,peer advance count / peer count; 0 when no peer,frozen formal D0/D1 full-market pools + canonical daily cache,D1 15:00,YES,FATAL source gap,NO,INCLUDED
tier_peer_break_count_d1,SAME_TIER_COMPETITION,peer count - peer advance count,frozen formal D0/D1 full-market pools + canonical daily cache,D1 15:00,YES,FATAL source gap,NO,INCLUDED
tier_peer_break_rate_d1,SAME_TIER_COMPETITION,peer break count / peer count; 0 when no peer,frozen formal D0/D1 full-market pools + canonical daily cache,D1 15:00,YES,FATAL source gap,NO,INCLUDED
tier_peer_count_ex_self,SAME_TIER_COMPETITION,tier_cohort_size - 1,frozen formal D0/D1 full-market pools + canonical daily cache,D1 15:00,YES,FATAL source gap,NO,INCLUDED
tier_peer_max_d1_close_return,SAME_TIER_COMPETITION,max(peer D1 close / D0 close - 1),frozen formal D0/D1 full-market pools + canonical daily cache,D1 15:00,YES,STRUCTURAL_NA when no peer,NO,INCLUDED
tier_peer_mean_d1_close_return,SAME_TIER_COMPETITION,mean(peer D1 close / D0 close - 1),frozen formal D0/D1 full-market pools + canonical daily cache,D1 15:00,YES,STRUCTURAL_NA when no peer,NO,INCLUDED
group_limit_up_breadth_d1,THEME_OR_GROUP_POSITION,predeclared; not computed without point-in-time membership,UNAVAILABLE,UNAVAILABLE,NOT_ESTABLISHED,DO_NOT_IMPUTE; OMIT BLOCK,NO,UNAVAILABLE
group_limit_up_count_d1,THEME_OR_GROUP_POSITION,predeclared; not computed without point-in-time membership,UNAVAILABLE,UNAVAILABLE,NOT_ESTABLISHED,DO_NOT_IMPUTE; OMIT BLOCK,NO,UNAVAILABLE
group_member_count,THEME_OR_GROUP_POSITION,predeclared; not computed without point-in-time membership,UNAVAILABLE,UNAVAILABLE,NOT_ESTABLISHED,DO_NOT_IMPUTE; OMIT BLOCK,NO,UNAVAILABLE
group_member_mean_d1_return,THEME_OR_GROUP_POSITION,predeclared; not computed without point-in-time membership,UNAVAILABLE,UNAVAILABLE,NOT_ESTABLISHED,DO_NOT_IMPUTE; OMIT BLOCK,NO,UNAVAILABLE
group_member_positive_return_rate_d1,THEME_OR_GROUP_POSITION,predeclared; not computed without point-in-time membership,UNAVAILABLE,UNAVAILABLE,NOT_ESTABLISHED,DO_NOT_IMPUTE; OMIT BLOCK,NO,UNAVAILABLE
group_member_top_return_d1,THEME_OR_GROUP_POSITION,predeclared; not computed without point-in-time membership,UNAVAILABLE,UNAVAILABLE,NOT_ESTABLISHED,DO_NOT_IMPUTE; OMIT BLOCK,NO,UNAVAILABLE
group_multi_board_count_d1,THEME_OR_GROUP_POSITION,predeclared; not computed without point-in-time membership,UNAVAILABLE,UNAVAILABLE,NOT_ESTABLISHED,DO_NOT_IMPUTE; OMIT BLOCK,NO,UNAVAILABLE
group_strength_percentile_among_groups_d1,THEME_OR_GROUP_POSITION,predeclared; not computed without point-in-time membership,UNAVAILABLE,UNAVAILABLE,NOT_ESTABLISHED,DO_NOT_IMPUTE; OMIT BLOCK,NO,UNAVAILABLE
