feature_name,pairwise_v1_decision,decision_reason
d3_close_daily,LABEL_ONLY,"D3 收盘, 未来信息, 标签序列"
d3_high_daily,LABEL_ONLY,"D3 最高, 未来信息, 标签序列"
daily_d2open_to_d3close_return,LABEL_ONLY,"标签收益, 未来信息"
daily_d2open_to_d3high_return,LABEL_ONLY,"标签收益, 未来信息"
daily_label_complete,AUDIT_ONLY,标签质量审计
daily_label_quality_ok,AUDIT_ONLY,标签质量审计
deprecated_d1_reclaimed_ma10_v01,EXCLUDE_EXACT_DUPLICATE_ALIAS,"ED11: 与 d1_close_above_ma10 精确重复, 命名废弃"
deprecated_d1_reclaimed_ma5_v01,EXCLUDE_EXACT_DUPLICATE_ALIAS,"ED10: 与 d1_close_above_ma5 精确重复, 命名废弃"
event_id,IDENTIFIER,事件身份
is_v002_scorable,EXCLUDE_MODEL_OUTPUT,v002 模型可打分标记
is_v002_top10,EXCLUDE_MODEL_OUTPUT,v002 Top10 标记
is_v002_top15,EXCLUDE_MODEL_OUTPUT,v002 Top15 标记
is_v002_top3,EXCLUDE_MODEL_OUTPUT,v002 Top3 标记
is_v004a_scorable,EXCLUDE_MODEL_OUTPUT,v004a 模型可打分标记
is_v004a_top10,EXCLUDE_MODEL_OUTPUT,v004a Top10 标记
is_v004a_top15,EXCLUDE_MODEL_OUTPUT,v004a Top15 标记
is_v004a_top3,EXCLUDE_MODEL_OUTPUT,v004a Top3 标记
label_d2_date,AUDIT_ONLY,标签审计元数据
label_d3_date,AUDIT_ONLY,标签审计元数据
m0_probability,EXCLUDE_MODEL_OUTPUT,logistic walkforward 模型概率
m1_probability,EXCLUDE_MODEL_OUTPUT,logistic walkforward 模型概率
m1_rank_daily,EXCLUDE_MODEL_OUTPUT,logistic walkforward 模型排名
m2_probability,EXCLUDE_MODEL_OUTPUT,logistic walkforward 模型概率
m2_rank_daily,EXCLUDE_MODEL_OUTPUT,logistic walkforward 模型排名
ma5_ma10_spread,PENDING_EVIDENCE,"提案未实现; 可由 a/b 精确确定, 非新机制"
ma5_overheat_10,EXCLUDE_REDUNDANT_DETERMINISTIC_TRANSFORM,close_to_ma5>=0.10 二元化: 确定性阈值变换
overrepair,EXCLUDE_MANUAL_COMPOSITE,"max(open_to_close-0.03,0): 同机制再表达, 非新机制"
profit_chip_ratio,EXCLUDE_REDUNDANT_DETERMINISTIC_TRANSFORM,1 - volume_above_d1_close_ratio: 精确互补
profit_pressure,EXCLUDE_MANUAL_COMPOSITE,"三字段交互项: 非新机制, 留待人工评估"
r0_probability,EXCLUDE_MODEL_OUTPUT,repair-state 模型概率
r1_probability,EXCLUDE_MODEL_OUTPUT,repair-state 模型概率
r1_rank,EXCLUDE_MODEL_OUTPUT,repair-state 模型排名
r2_probability,EXCLUDE_MODEL_OUTPUT,repair-state 模型概率
r2_rank,EXCLUDE_MODEL_OUTPUT,repair-state 模型排名
recognition_score,EXCLUDE_MODEL_OUTPUT,"旧模型/辨识度综合评分, 禁止作为 v004c 输入"
signal_date,IDENTIFIER,"GROUP_KEY, 非 FEATURE"
source_window,AUDIT_ONLY,"may/june 来源窗口, 非特征"
tail_loss_daily_5pct,LABEL_ONLY,"tail-loss 标签, 未来信息"
target7_daily_d2open_d3high,LABEL_ONLY,"Target7 标签, 未来信息"
v002_rank,EXCLUDE_MODEL_OUTPUT,v002 模型排名输出
v004a_probability,EXCLUDE_MODEL_OUTPUT,v004a 模型概率输出
v004a_rank,EXCLUDE_MODEL_OUTPUT,v004a 模型排名输出
v004a_score_source,AUDIT_ONLY,v004a 分数来源审计
volume_above_break_close_ratio,EXCLUDE_EXACT_DUPLICATE_ALIAS,ED13: 与 volume_above_d1_close_ratio 精确重复 (signal==break)
